lap,time,sector_1,sector_2,sector_3
1,90.5,30.2,28.1,32.2
2,90.3,30.1,28.0,32.2
3,90.2,30.0,28.0,32.2
4,90.1,30.0,27.9,32.2
5,90.0,30.0,27.8,32.2
6,90.0,30.0,27.8,32.2
7,90.0,30.0,27.8,32.2
8,90.0,30.0,27.8,32.2
9,90.0,30.0,27.8,32.2
10,90.0,30.0,27.8,32.2
11,90.0,30.0,27.8,32.2
12,90.0,30.0,27.8,32.2
13,90.0,30.0,27.8,32.2
14,90.0,30.0,27.8,32.2
15,90.0,30.0,27.8,32.2
16,90.0,30.0,27.8,32.2
17,90.0,30.0,27.8,32.2
18,91.5,30.5,28.5,32.5
19,92.0,30.8,28.7,32.5
20,92.32,31.0,28.8,32.52
21,92.5,31.0,29.0,32.5
22,91.8,30.7,28.6,32.5
